id,slug,nombre,area_id
1,ceo,CEO,
2,cmo,CMO / Director(a) de Marketing,3
3,cto,CTO / Director(a) de Tecnología,9
4,gerente-marketing,Gerente de Marketing,3
5,gerente-ti,Gerente de TI,9
6,lider-ventas,Líder/Gerente de Ventas,2
7,analista-ti,Analista/Especialista TI,9
8,academia-investigacion,Academia/Investigación,9
9,educacion-docentes,Educación/Docentes,10
10,diseno-industrias-creativas,Diseño/Industrias Creativas,11
11,direccion-ventas,Dirección de Ventas,2
12,direccion-operaciones,Dirección de Operaciones,5
13,direccion-finanzas,Dirección de Finanzas (CFO),5
14,direccion-rrhh,Dirección de RRHH,6
15,direccion-contabilidad,Dirección/Jefatura de Contabilidad,7
16,direccion-compras,Dirección de Compras / Supply,8
17,miembros-ventas,Miembros de Ventas,2
18,miembros-marketing,Miembros de Marketing,3
19,miembros-operaciones,Miembros de Operaciones,5
20,miembros-finanzas,Miembros de Finanzas,5
21,miembros-rrhh,Miembros de RRHH,6
22,miembros-contabilidad,Miembros de Contabilidad,7
23,miembros-compras,Miembros de Compras,8
24,gerencia-media,Gerencia Media,1
25,freelancer,Freelancer,1
26,consultor,Consultor,1